"State","2021 Flux Estimate (MMT CO2 Eq.)","Lower Bound (MMT CO2 Eq.)","Upper Bound (MMT CO2 Eq.)","Lower Bound (Percent)","Upper Bound (Percent)"
"Alabama",-12.81,-14.64,-10.99,-14.27,14.27
"Alaska",-3.12,-10.23,3.98,-227.39,227.39
"Arizona",0.66,0.27,1.06,-59.95,59.95
"Arkansas",-9.66,-11.22,-8.09,-16.24,16.24
"California",-6.82,-14.81,1.18,-117.26,117.26
"Colorado",3.25,-5.28,11.77,-262.64,262.64
"Connecticut",-0.88,-1.16,-0.6,-32.05,32.05
"Delaware",-0.04,-0.07,-0.01,-75.11,75.11
"Florida",-3.59,-4.25,-2.92,-18.6,18.6
"Georgia",-8.89,-9.38,-8.4,-5.53,5.53
"Idaho",1.08,-2.43,4.6,-324.13,324.13
"Illinois",-1.12,-2.12,-0.13,-88.35,88.35
"Indiana",-1.29,-2.89,0.3,-123.15,123.15
"Iowa",-0.7,-1.02,-0.39,-44.83,44.83
"Kansas",-0.59,-1.01,-0.17,-71.46,71.46
"Kentucky",-5.15,-6.72,-3.59,-30.38,30.38
"Louisiana",-7.25,-7.72,-6.78,-6.51,6.51
"Maine",-3.74,-6.75,-0.72,-80.67,80.67
"Maryland",-1.07,-1.6,-0.54,-49.25,49.25
"Massachusetts",-1.23,-1.61,-0.86,-30.3,30.3
"Michigan",-3.71,-7.3,-0.12,-96.82,96.82
"Minnesota",-3.55,-5.86,-1.24,-65.15,65.15
"Mississippi",-16.26,-19.12,-13.39,-17.62,17.62
"Missouri",-3.15,-5.73,-0.58,-81.73,81.73
"Montana",2.79,-5.2,10.79,-286.21,286.21
"Nebraska",-0.23,-0.28,-0.17,-23.77,23.77
"Nevada",0.04,-0.23,0.31,-708.16,708.16
"New Hampshire",-1.38,-1.98,-0.78,-43.35,43.35
"New Jersey",-0.54,-0.63,-0.45,-16.69,16.69
"New Mexico",1.17,-0.76,3.09,-164.61,164.61
"New York",-6.25,-8.55,-3.95,-36.83,36.83
"North Carolina",-8.2,-9.46,-6.94,-15.36,15.36
"North Dakota",-0.1,-0.2,0,-99.17,99.17
"Ohio",-1.49,-3.57,0.58,-138.95,138.95
"Oklahoma",-2.2,-2.83,-1.58,-28.44,28.44
"Oregon",-9.58,-11.68,-7.48,-21.94,21.94
"Pennsylvania",-4.97,-9.43,-0.52,-89.62,89.62
"Rhode Island",-0.08,-0.23,0.06,-176.83,176.83
"South Carolina",-4.12,-4.66,-3.58,-13.12,13.12
"South Dakota",0.24,-0.1,0.57,-141.73,141.73
"Tennessee",-7.38,-8.89,-5.88,-20.38,20.38
"Texas",-7.72,-8.23,-7.2,-6.7,6.7
"Utah",0.98,-0.41,2.36,-141.88,141.88
"Vermont",-1.72,-2.43,-1.01,-41.46,41.46
"Virginia",-10.19,-12.93,-7.45,-26.89,26.89
"Washington",-4.3,-8.93,0.32,-107.48,107.48
"West Virginia",-3.85,-5.58,-2.12,-44.98,44.98
"Wisconsin",-4.42,-4.88,-3.96,-10.44,10.44
"Wyoming",1.34,0.7,1.98,-47.62,47.62
