"PLOT","INVYR","agb_mgha","lcpri","project_year","project_name"
449,2014,38.6699257463907,2,2016,"NYSGPO_ColumbiaRensselaer2016"
1142,2015,210.559354259185,4,2016,"NYSGPO_ColumbiaRensselaer2016"
3936,2015,0,2,2016,"NYSGPO_ColumbiaRensselaer2016"
588,2018,261.277068083112,4,2016,"NYSGPO_ColumbiaRensselaer2016"
5941,2018,61.7182705315389,4,2016,"NYSGPO_ColumbiaRensselaer2016"
5075,2018,15.4936895850275,4,2016,"NYSGPO_ColumbiaRensselaer2016"
5312,2014,18.1218336651628,4,2016,"NYSGPO_ColumbiaRensselaer2016"
1055,2014,0,2,2016,"NYSGPO_ColumbiaRensselaer2016"
205,2015,143.288274242799,4,2016,"NYSGPO_ColumbiaRensselaer2016"
716,2017,102.067334077488,6,2016,"NYSGPO_ColumbiaRensselaer2016"
1564,2017,231.508105505892,4,2016,"NYSGPO_ColumbiaRensselaer2016"
5200,2017,0,6,2016,"NYSGPO_ColumbiaRensselaer2016"
4322,2017,0,2,2016,"NYSGPO_ColumbiaRensselaer2016"
5487,2017,122.091424947505,4,2016,"NYSGPO_ColumbiaRensselaer2016"
3151,2017,207.687405050525,4,2016,"NYSGPO_ColumbiaRensselaer2016"
12,2017,0,2,2016,"NYSGPO_ColumbiaRensselaer2016"
3512,2015,108.829668029617,4,2016,"NYSGPO_ColumbiaRensselaer2016"
1137,2015,0,2,2016,"NYSGPO_ColumbiaRensselaer2016"
1256,2018,0,2,2016,"NYSGPO_ColumbiaRensselaer2016"
6091,2017,67.6454775556197,4,2016,"NYSGPO_ColumbiaRensselaer2016"
1869,2014,204.056941990297,4,2016,"NYSGPO_ColumbiaRensselaer2016"
6155,2015,25.9342948876921,4,2016,"NYSGPO_ColumbiaRensselaer2016"
94,2018,0,4,2016,"NYSGPO_ColumbiaRensselaer2016"
3197,2017,44.456242769464,6,2016,"NYSGPO_ColumbiaRensselaer2016"
4224,2017,187.061127204472,4,2016,"NYSGPO_ColumbiaRensselaer2016"
2033,2017,0,2,2016,"NYSGPO_ColumbiaRensselaer2016"
3896,2015,172.337398149366,4,2016,"NYSGPO_ColumbiaRensselaer2016"
3303,2018,238.132748236522,4,2016,"NYSGPO_ColumbiaRensselaer2016"
